"id","name","password","location","create_time","date","start_time","end_time","gameversion_id","description"
"5","Ommen23 Morning","ommen","Ommen EPA","2023-10-07 11:45:47","2023-09-26","2023-09-26 09:00:00","2024-02-15 12:00:00","3","NULL"
"6","Ommen23 Afternoon","ommen","Ommen EPA","2023-10-07 23:39:23","2023-09-26","2023-11-10 09:00:00","2024-09-01 00:00:00","3",""
"7","Test","test","Virtual","2023-11-23 19:04:27","2023-11-24","NULL","2024-09-01 00:00:00","3",""
"8","Utrecht 24-11-2023","utrecht","Utrecht","2023-11-23 19:05:23","2023-11-24","NULL","2024-09-01 00:00:00","3",""
"10","IHE-24-04-04","IHE-Delft","NULL","2024-04-04 11:01:20","NULL","NULL","2024-09-01 00:00:00","3",""
"12","civWAT-110424","civwat","NULL","2024-04-08 10:43:05","NULL","NULL","2024-09-01 00:00:00","7",""
"14","Test 2024-09","ommen#","Ommen","2024-09-23 13:28:21","NULL","NULL","2024-09-01 00:00:00","11","test 2024-09"
"15","Ommen TEST","ommen","Delft","2024-09-23 19:41:58","NULL","NULL","2024-09-02 00:00:00","12","OMMEN TEST"
"16","Ommen 24-09-2024","ommen","Ommen","2024-09-24 05:05:42","2024-09-24","NULL","2024-09-25 00:00:00","12","Ommen EPA students 24-09-2024"
"17","Grensmaas demo","grensmaas","NULL","2024-09-30 11:43:26","NULL","NULL","NULL","12","Wageningen demo session with Asli"
