"id","timestamp","pluvial_flood_intensity","fluvial_flood_intensity","group_state","round_number","group_id"
"13","2023-12-14 11:50:26","0","0","LOGIN","0","34"
"14","2023-12-14 11:55:14","NULL","NULL","SHOW_SUMMARY","1","34"
"15","2023-12-17 12:56:06","0","0","LOGIN","0","35"
"18","2023-12-19 18:31:06","0","0","LOGIN","0","37"
"19","2023-12-20 21:15:16","NULL","NULL","ALLOW_IMPROVEMENTS","1","35"
"21","2023-12-21 11:31:52","NULL","NULL","SHOW_SURVEY","1","37"
"22","2023-12-24 00:41:20","0","0","LOGIN","0","38"
"23","2023-12-24 00:41:44","8","10","SHOW_SUMMARY","1","38"
"25","2024-01-06 17:24:09","8","10","SHOW_SUMMARY","2","38"
"26","2024-01-08 01:39:15","0","0","LOGIN","0","36"
"27","2024-01-08 01:41:39","NULL","NULL","SHOW_SURVEY","1","36"
"28","2024-01-13 11:55:07","NULL","NULL","NEW_ROUND","3","38"
"29","2024-01-29 17:07:47","0","0","LOGIN","0","27"
"30","2024-01-29 17:08:26","9","7","SHOW_SUMMARY","1","27"
"31","2024-01-29 17:27:30","9","7","SHOW_SUMMARY","2","27"
"32","2024-01-29 17:39:53","NULL","NULL","NEW_ROUND","3","27"
"33","2024-01-31 10:24:19","0","0","LOGIN","0","28"
"34","2024-01-31 10:25:35","10","3","SHOW_SUMMARY","1","28"
"35","2024-01-31 10:35:20","NULL","NULL","SURVEY_COMPLETED","2","28"
"36","2024-02-09 06:22:13","NULL","NULL","ANNOUNCE_NEWS","4","27"
"37","2024-02-12 03:40:41","0","0","LOGIN","0","29"
"38","2024-02-12 03:41:08","10","12","SHOW_SUMMARY","1","29"
"42","2024-02-19 09:28:14","0","0","LOGIN","0","33"
"43","2024-02-19 09:29:22","7","11","SHOW_SUMMARY","1","33"
"44","2024-02-19 09:48:57","10","10","SHOW_SUMMARY","2","33"
"45","2024-03-26 12:31:05","NULL","NULL","ANNOUNCE_NEWS","3","33"
"56","2024-04-04 11:04:21","0","0","LOGIN","0","50"
"57","2024-04-04 13:38:32","0","0","LOGIN","0","51"
"58","2024-04-04 14:19:35","10","10","SHOW_SUMMARY","1","50"
"59","2024-04-04 14:21:04","6","5","SHOW_SUMMARY","1","51"
"60","2024-04-04 14:56:36","6","9","SHOW_SUMMARY","2","50"
"61","2024-04-04 14:58:39","8","5","SHOW_SUMMARY","2","51"
"62","2024-04-04 15:13:39","7","7","SHOW_SUMMARY","3","50"
"63","2024-04-04 15:24:17","9","5","SHOW_SUMMARY","3","51"
"64","2024-04-04 15:34:57","6","6","SURVEY_COMPLETED","4","51"
"65","2024-04-04 15:44:09","4","9","SHOW_SUMMARY","4","50"
"90","2024-04-06 15:08:38","0","0","LOGIN","0","40"
"91","2024-04-07 07:14:51","0","0","LOGIN","0","43"
"92","2024-04-07 07:16:14","NULL","NULL","SHOW_TAXES","1","43"
"93","2024-04-07 15:26:54","10","10","SHOW_SUMMARY","1","40"
"94","2024-04-08 11:26:39","0","0","LOGIN","0","41"
"95","2024-04-08 11:30:43","6","5","SHOW_SUMMARY","1","41"
"96","2024-04-08 12:10:56","4","10","SHOW_SUMMARY","2","41"
"97","2024-04-08 12:27:25","4","10","SHOW_SUMMARY","3","41"
"98","2024-04-08 12:58:16","4","3","SHOW_SUMMARY","4","41"
"107","2024-04-10 20:51:23","0","0","LOGIN","0","58"
"108","2024-04-10 20:54:34","0","0","LOGIN","0","61"
"112","2024-04-11 10:47:37","0","0","LOGIN","0","60"
"113","2024-04-11 10:54:56","0","0","LOGIN","0","59"
"114","2024-04-11 10:55:13","0","0","LOGIN","0","56"
"115","2024-04-11 10:56:00","7","9","SHOW_SUMMARY","1","58"
"116","2024-04-11 10:57:09","9","7","SHOW_SUMMARY","1","61"
"118","2024-04-11 10:59:42","7","7","SHOW_SUMMARY","1","60"
"119","2024-04-11 11:00:00","5","10","SHOW_SUMMARY","1","56"
"120","2024-04-11 11:03:42","6","7","SHOW_SUMMARY","1","59"
"121","2024-04-11 11:14:41","1","11","SHOW_SUMMARY","2","61"
"122","2024-04-11 11:19:05","8","10","SHOW_SUMMARY","2","58"
"123","2024-04-11 11:25:27","5","9","SHOW_SUMMARY","2","59"
"124","2024-04-11 11:27:35","3","4","SHOW_SUMMARY","3","61"
"125","2024-04-11 11:28:01","3","3","SHOW_SUMMARY","2","60"
"127","2024-04-11 11:32:48","2","2","SHOW_SUMMARY","2","56"
"129","2024-04-11 11:39:09","7","9","SHOW_SUMMARY","3","58"
"130","2024-04-11 11:40:21","2","8","SHOW_SUMMARY","3","59"
"131","2024-04-11 11:42:40","3","7","SHOW_SUMMARY","4","61"
"132","2024-04-11 11:43:58","0","0","LOGIN","0","57"
"133","2024-04-11 11:45:09","8","5","SHOW_SUMMARY","1","57"
"134","2024-04-11 11:48:50","10","5","SHOW_SUMMARY","3","60"
"135","2024-04-11 11:49:28","6","9","SHOW_SUMMARY","4","59"
"136","2024-04-11 11:52:43","2","7","SHOW_SUMMARY","3","56"
"137","2024-04-11 11:55:32","7","7","SHOW_SUMMARY","4","58"
"138","2024-04-11 11:57:50","7","12","SHOW_SUMMARY","4","60"
"139","2024-04-11 11:58:03","7","7","SHOW_SUMMARY","2","57"
"140","2024-04-11 12:02:05","10","10","SHOW_SUMMARY","4","56"
"141","2024-04-11 12:04:44","3","7","SHOW_SUMMARY","3","57"
"159","2024-09-14 04:04:36","0","0","LOGIN","0","39"
"160","2024-09-14 04:58:19","NULL","NULL","ALLOW_IMPROVEMENTS","1","39"
"161","2024-09-23 13:30:57","0","0","LOGIN","0","68"
"162","2024-09-23 13:42:28","8","10","SHOW_SUMMARY","1","68"
"163","2024-09-23 17:24:32","NULL","NULL","NEW_ROUND","2","68"
"164","2024-09-23 18:26:31","0","0","LOGIN","0","69"
"165","2024-09-23 18:27:38","NULL","NULL","ANNOUNCE_NEWS","1","69"
"166","2024-09-23 19:45:53","0","0","LOGIN","0","71"
"167","2024-09-23 19:59:39","10","10","SHOW_SUMMARY","1","71"
"168","2024-09-24 06:22:42","9","8","SHOW_SUMMARY","2","71"
"169","2024-09-24 08:49:52","NULL","NULL","SHOW_SURVEY","3","71"
"170","2024-09-24 09:56:55","0","0","LOGIN","0","72"
