"id","bought_in_round","measuretype_id","housegroup_id","used_in_round"
"1","1","26","58","-1"
"2","1","12","73","-1"
"3","1","14","73","-1"
"4","1","18","73","-1"
"5","1","22","73","-1"
"6","2","12","61","-1"
"7","2","14","61","-1"
"8","2","16","61","-1"
"9","2","18","61","-1"
"10","2","20","61","-1"
"11","2","22","61","-1"
"12","2","26","61","-1"
"13","1","16","60","-1"
"14","3","26","76","-1"
"15","3","16","78","-1"
"16","3","22","79","-1"
"17","3","26","80","-1"
"18","2","24","93","-1"
"19","2","26","93","-1"
"20","3","26","96","-1"
"21","3","16","98","-1"
"22","3","22","99","-1"
"23","3","26","100","-1"
"24","2","26","103","-1"
"25","4","18","116","-1"
"26","4","22","116","-1"
"27","4","14","117","-1"
"28","4","24","117","-1"
"29","4","12","118","-1"
"30","4","20","118","-1"
"31","4","12","119","-1"
"32","4","22","119","-1"
"33","4","20","120","-1"
"34","3","26","161","-1"
"35","3","16","163","-1"
"36","3","22","164","-1"
"37","3","26","165","-1"
"46","1","18","217","-1"
"47","1","26","217","-1"
"48","1","18","218","-1"
"49","1","26","235","-1"
"50","1","12","231","-1"
"51","1","12","229","-1"
"52","1","20","229","-1"
"53","1","24","229","-1"
"54","1","26","232","-1"
"55","1","12","234","-1"
"56","1","20","234","-1"
"57","2","18","216","-1"
"58","2","24","218","-1"
"59","2","16","217","-1"
"60","2","22","217","-1"
"61","3","26","246","-1"
"62","3","16","248","-1"
"63","3","22","249","-1"
"64","3","26","250","-1"
"65","2","18","231","-1"
"66","2","24","235","-1"
"67","2","14","244","-1"
"68","2","18","244","-1"
"69","3","26","251","-1"
"70","3","16","253","-1"
"71","3","22","254","-1"
"72","3","26","255","-1"
"73","3","14","218","-1"
"74","3","14","235","-1"
"75","3","14","231","-1"
"76","3","24","244","-1"
"77","3","14","229","-1"
"78","3","12","248","-1"
"79","3","18","248","-1"
"80","3","12","216","-1"
"81","4","18","256","-1"
"82","4","22","256","-1"
"83","4","14","257","-1"
"84","4","24","257","-1"
"85","4","12","258","-1"
"86","4","20","258","-1"
"87","4","12","259","-1"
"88","4","22","259","-1"
"89","4","20","260","-1"
"90","4","22","232","-1"
"91","4","24","231","-1"
"92","4","18","261","-1"
"93","4","22","261","-1"
"94","4","14","262","-1"
"95","4","24","262","-1"
"96","4","12","263","-1"
"97","4","20","263","-1"
"98","4","12","264","-1"
"99","4","22","264","-1"
"100","4","20","265","-1"
"101","4","14","216","-1"
"102","4","12","217","-1"
"103","4","24","248","-1"
"122","1","12","397","-1"
"123","1","26","400","-1"
"124","1","12","394","-1"
"125","2","26","394","-1"
"126","2","18","397","-1"
"127","2","24","397","-1"
"128","2","26","393","-1"
"129","3","26","406","-1"
"130","3","16","408","-1"
"131","3","22","409","-1"
"132","3","26","410","-1"
"133","3","20","406","-1"
"134","3","18","394","-1"
"135","3","18","393","-1"
"136","3","26","397","-1"
"137","4","18","411","-1"
"138","4","22","411","-1"
"139","4","14","412","-1"
"140","4","24","412","-1"
"141","4","12","413","-1"
"142","4","20","413","-1"
"143","4","12","414","-1"
"144","4","22","414","-1"
"145","4","20","415","-1"
"146","4","12","411","-1"
"156","1","44","472","-1"
"157","1","43","474","-1"
"158","1","50","474","-1"
"159","1","43","476","-1"
"160","1","47","476","-1"
"161","1","50","480","-1"
"162","1","46","467","-1"
"163","1","46","462","-1"
"164","1","46","463","-1"
"165","1","45","499","-1"
"166","1","49","499","-1"
"167","1","50","499","-1"
"168","1","43","515","-1"
"169","1","45","497","-1"
"170","1","47","514","-1"
"171","1","46","519","-1"
"172","1","46","493","-1"
"173","1","43","500","-1"
"174","1","43","495","-1"
"175","1","43","512","-1"
"176","1","47","512","-1"
"177","2","46","472","-1"
"178","2","45","477","-1"
"179","2","44","480","-1"
"180","2","44","474","-1"
"181","2","45","474","-1"
"182","2","46","474","-1"
"183","2","47","474","-1"
"184","2","48","474","-1"
"185","2","49","474","-1"
"186","2","44","476","-1"
"187","2","45","476","-1"
"188","2","46","476","-1"
"189","3","50","536","-1"
"190","3","45","538","-1"
"191","3","48","539","-1"
"192","3","50","540","-1"
"193","3","45","541","-1"
"194","3","49","541","-1"
"195","1","43","502","-1"
"196","1","43","503","-1"
"197","1","50","510","-1"
"198","1","43","509","-1"
"199","1","50","507","-1"
"203","2","44","461","-1"
"204","2","44","463","-1"
"205","2","44","467","-1"
"206","2","47","515","-1"
"207","2","46","512","-1"
"208","2","50","520","-1"
"209","2","44","513","-1"
"210","2","44","462","-1"
"211","2","48","462","-1"
"212","2","50","519","-1"
"213","2","43","514","-1"
"214","2","49","514","-1"
"221","3","50","472","-1"
"222","3","45","475","-1"
"223","3","49","476","-1"
"224","3","50","563","-1"
"225","3","45","565","-1"
"226","3","48","566","-1"
"227","3","50","567","-1"
"228","3","45","568","-1"
"229","3","49","568","-1"
"230","3","50","569","-1"
"231","3","45","571","-1"
"232","3","48","572","-1"
"233","3","50","573","-1"
"234","3","45","574","-1"
"235","3","49","574","-1"
"236","4","44","575","-1"
"237","4","45","575","-1"
"238","4","46","576","-1"
"239","4","48","576","-1"
"240","4","44","577","-1"
"241","4","49","577","-1"
"242","4","43","578","-1"
"243","4","47","578","-1"
"244","4","43","579","-1"
"245","4","48","579","-1"
"246","4","47","580","-1"
"247","2","44","499","-1"
"248","2","43","544","-1"
"249","2","47","544","-1"
"250","2","45","492","-1"
"251","2","46","492","-1"
"252","2","43","493","-1"
"253","2","44","546","-1"
"254","2","45","546","-1"
"255","2","48","546","-1"
"256","3","46","514","-1"
"257","3","50","591","-1"
"258","3","45","593","-1"
"259","3","48","594","-1"
"260","3","50","595","-1"
"261","3","45","596","-1"
"262","3","49","596","-1"
"263","4","48","476","-1"
"264","4","50","476","-1"
"265","4","50","575","-1"
"266","4","45","472","-1"
"267","4","48","472","-1"
"268","4","44","597","-1"
"269","4","45","597","-1"
"270","4","46","598","-1"
"271","4","48","598","-1"
"272","4","44","599","-1"
"273","4","49","599","-1"
"274","4","43","600","-1"
"275","4","47","600","-1"
"276","4","43","601","-1"
"277","4","48","601","-1"
"278","4","47","602","-1"
"279","2","47","505","-1"
"280","2","43","554","-1"
"281","2","47","554","-1"
"282","3","50","463","-1"
"283","3","46","461","-1"
"284","3","50","461","-1"
"285","2","45","506","-1"
"286","2","50","506","-1"
"287","2","47","503","-1"
"288","2","46","507","-1"
"289","3","47","567","-1"
"290","3","46","568","-1"
"291","3","47","568","-1"
"292","3","50","603","-1"
"293","3","45","605","-1"
"294","3","48","606","-1"
"295","3","50","607","-1"
"296","3","45","608","-1"
"297","3","49","608","-1"
"298","3","46","544","-1"
"299","3","49","544","-1"
"300","1","43","584","-1"
"301","1","47","584","-1"
"302","1","47","586","-1"
"303","4","44","609","-1"
"304","4","45","609","-1"
"305","4","46","610","-1"
"306","4","48","610","-1"
"307","4","44","611","-1"
"308","4","49","611","-1"
"309","4","43","612","-1"
"310","4","47","612","-1"
"311","4","43","613","-1"
"312","4","48","613","-1"
"313","4","47","614","-1"
"314","1","47","589","-1"
"315","3","45","493","-1"
"316","4","43","598","-1"
"317","4","48","597","-1"
"318","4","44","615","-1"
"319","4","45","615","-1"
"320","4","46","616","-1"
"321","4","48","616","-1"
"322","4","44","617","-1"
"323","4","49","617","-1"
"324","4","43","618","-1"
"325","4","47","618","-1"
"326","4","43","619","-1"
"327","4","48","619","-1"
"328","4","47","620","-1"
"329","4","47","461","-1"
"330","3","43","507","-1"
"331","4","43","568","-1"
"332","4","44","568","-1"
"333","3","43","505","-1"
"334","3","44","554","-1"
"335","3","45","554","-1"
"336","3","44","506","-1"
"337","4","49","567","-1"
"338","4","44","626","-1"
"339","4","45","626","-1"
"340","4","46","627","-1"
"341","4","48","627","-1"
"342","4","44","628","-1"
"343","4","49","628","-1"
"344","4","43","629","-1"
"345","4","47","629","-1"
"346","4","43","630","-1"
"347","4","48","630","-1"
"348","4","47","631","-1"
"349","2","50","587","-1"
"350","2","44","584","-1"
"351","2","45","584","-1"
"352","2","46","584","-1"
"353","2","48","584","-1"
"354","2","50","584","-1"
"355","2","46","583","-1"
"356","2","43","586","-1"
"357","2","44","586","-1"
"358","3","50","632","-1"
"359","3","45","634","-1"
"360","3","48","635","-1"
"361","3","50","636","-1"
"362","3","45","637","-1"
"363","3","49","637","-1"
"364","4","50","503","-1"
"365","4","50","492","-1"
"366","4","48","506","-1"
"367","4","46","554","-1"
"368","4","46","502","-1"
"369","4","47","502","-1"
"370","4","49","502","-1"
"371","4","44","507","-1"
"372","3","49","584","-1"
"373","3","43","632","-1"
"374","3","46","586","-1"
"379","1","106","724","-1"
"380","1","124","755","-1"
"381","1","130","755","-1"
"382","1","124","753","-1"
"383","1","127","751","-1"
"384","2","131","753","-1"
"385","2","130","751","-1"
"386","2","131","755","-1"
"387","3","131","763","-1"
"388","3","126","765","-1"
"389","3","125","766","-1"
"390","3","131","767","-1"
"391","3","126","768","-1"
"392","3","130","768","-1"
"393","3","126","753","-1"
"394","3","124","751","-1"
"395","3","126","751","-1"
"396","3","131","751","-1"
"397","1","125","787","-1"
"398","1","131","781","-1"
"399","1","126","788","-1"
"400","1","130","785","-1"
"401","1","126","783","-1"
"402","1","125","786","-1"
"403","1","131","786","-1"
"404","1","126","782","-1"
"405","1","130","782","-1"
"406","1","124","771","-1"
"407","1","126","771","-1"
"408","1","131","771","-1"
"409","1","131","776","-1"
"410","1","124","778","-1"
"411","1","126","775","-1"
"412","1","124","801","-1"
"413","1","125","772","-1"
"414","1","124","772","-1"
