"id","name","round_number","measuretype_id","house_id"
"1","U06 sandbags","2","26","51"
"2","U02 bulkhead","2","22","47"
"3","D06 water pump","1","16","41"
"4","N06 sandbags","2","26","34"
"5","U08 ground level","2","20","53"
"6","U03 green garden","1","12","48"
"7","U03 bulkhead","3","22","48"
"8","D08 Green Garden","2","12","43"
"9","D08 Ground Level","2","20","43"
"10","N03 Rail Barrel","3","18","31"
"11","N03 Bulkhead","3","22","31"
"12","D07 steel walls","3","14","42"
"13","D07 water resist","1","24","42"
"14","N02 steel walls","4","14","30"
"15","N02 water pump","4","16","30"
"16","U07 water pump","3","16","52"
"17","U07 bulkhead","4","22","52"
"18","U07 walls floors","3","24","52"
"37","N02 steel walls","4","36","84"
"38","N02 water pump","4","37","84"
"39","N03 Rain Barrel","3","38","85"
"40","N03 Bulkhead","3","40","85"
"41","N06 sandbags","2","42","88"
"42","D06 water pump","1","37","95"
"43","D07 steel walls","3","36","96"
"44","D07 water resist","1","41","96"
"45","D08 Green Garden","2","35","97"
"46","D08 Ground Level","2","39","97"
"47","U02 bulkhead","2","40","101"
"48","U03 green garden","1","35","102"
"49","U03 bulkhead","3","40","102"
"50","U06 sandbags","2","42","105"
"51","U07 water pump","3","37","106"
"52","U07 bulkhead","4","40","106"
"53","U07 walls floors","3","41","106"
"54","U08 ground level","2","39","107"
"55","N02 steel walls","4","44","111"
"56","N02 water pump","4","45","111"
"57","N03 Rain Barrel","3","46","112"
"58","N03 Bulkhead","3","48","112"
"59","N06 sandbags","2","50","115"
"60","D06 water pump","1","45","122"
"61","D07 steel walls","3","44","123"
"62","D07 water resist","1","49","123"
"63","D08 Green Garden","2","43","124"
"64","D08 Ground Level","2","47","124"
"65","U02 bulkhead","2","48","128"
"66","U03 green garden","1","43","129"
"67","U03 bulkhead","3","48","129"
"68","U06 sandbags","2","50","132"
"69","U07 water pump","3","45","133"
"70","U07 bulkhead","4","48","133"
"71","U07 walls floors","3","49","133"
"72","U08 ground level","2","47","134"
"91","U06 sandbags","2","73","132"
"92","D06 water pump","1","68","122"
"93","D07 steel walls","3","67","123"
"94","D07 water resist","1","72","123"
"95","D08 Green Garden","2","66","124"
"96","D08 Ground Level","2","70","124"
"97","N02 steel walls","4","67","111"
"98","N02 water pump","4","68","111"
"99","N03 Bulkhead","3","71","112"
"100","N03 Rain Barrel","3","69","112"
"101","N06 sandbags","2","73","115"
"102","U02 bulkhead","2","71","128"
"103","U03 bulkhead","3","71","129"
"104","U03 green garden","1","66","129"
"106","U07 bulkhead","4","71","133"
"107","U07 walls floors","3","72","133"
"108","U07 water pump","3","68","133"
"109","U08 ground level","2","70","134"
"110","D06 water pump","1","76","41"
"111","D07 steel walls","3","75","42"
"112","D07 water resist","1","80","42"
"113","D08 Green Garden","2","74","43"
"114","D08 Ground Level","2","78","43"
"115","N02 steel walls","4","75","30"
"116","N02 water pump","4","76","30"
"117","N03 Bulkhead","3","79","31"
"118","N03 Rain Barrel","3","77","31"
"119","N06 sandbags","2","81","34"
"120","U02 bulkhead","2","79","47"
"121","U03 bulkhead","3","79","48"
"122","U03 green garden","1","74","48"
"123","U06 sandbags","2","81","51"
"124","U07 bulkhead","4","79","52"
"125","U07 walls floors","3","80","52"
"126","U07 water pump","3","76","52"
"127","U08 ground level","2","78","53"
"128","D06 water pump","1","84","95"
"129","D07 steel walls","3","83","96"
"130","D07 water resist","1","88","96"
"131","D08 Green Garden","2","82","97"
"132","D08 Ground Level","2","86","97"
"133","N02 steel walls","2","83","84"
"134","N02 water pump","2","84","84"
"135","N03 Rain Barrel","3","85","85"
"136","N03 Bulkhead","3","87","85"
"137","N06 sandbags","2","89","88"
"138","U02 bulkhead","2","87","101"
"139","U03 bulkhead","3","87","102"
"140","U03 green garden","1","82","102"
"141","U06 sandbags","2","89","105"
"142","U07 bulkhead","4","87","106"
"143","U07 walls floors","3","88","106"
"144","U07 water pump","3","84","106"
"145","U08 ground level","2","86","107"
"182","D08 Green Garden","2","106","205"
"183","U03 green garden","1","106","210"
"184","N02 steel walls","4","107","192"
"185","D07 steel walls","3","107","204"
"186","N02 water pump","4","108","192"
"187","D06 water pump","1","108","203"
"188","U07 water pump","3","108","214"
"189","N03 Rain Barrel","3","109","193"
"190","D08 Ground Level","2","110","205"
"191","U08 ground level","2","110","215"
"192","N03 Bulkhead","3","111","193"
"193","U02 bulkhead","2","111","209"
"194","U03 bulkhead","3","111","210"
"195","U07 bulkhead","4","111","214"
"196","D07 water resist","1","112","204"
"197","U07 walls floors","3","112","214"
"198","N06 sandbags","2","113","196"
"199","U06 sandbags","2","113","213"
"218","D08 Green Garden","2","124","232"
"219","U03 green garden","1","124","237"
"220","N02 steel walls","4","125","219"
"221","D07 flood wall","3","125","231"
"222","N02 water pump","4","126","219"
"223","D06 water pump","1","126","230"
"224","U07 water pump","3","126","241"
"225","N03 Rain Barrel","3","127","220"
"226","D08 Ground Level","2","130","232"
"227","U08 ground level","2","130","242"
"228","N03 Flood wall","3","125","220"
"229","U02 flood wall","2","125","236"
"230","U03 flood wall","3","125","237"
"231","U07 flood wall","4","125","241"
"233","U07 walls floors","3","130","241"
"234","N06 sandbags","2","131","223"
"235","U06 sandbags","2","131","240"
"236","D07 water resist","4","130","231"
