"id","name","description","explanation","scenario_id","sequence_nr"
"1","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","3","1"
"3","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","11","1"
"4","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","13","1"
"7","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","14","1"
"8","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","4","1"
"9","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","12","1"
"12","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","19","1"
"14","Personal measures","Personal measures","","19","2"
"15","Flood adaptation","(costs are the same for all players)","These are measures related to the house the player is living in.","21","1"
"16","Satisfaction measures","Satisfaction measures","","21","2"
"17","Insurance measures","Insurance measures","Insurance for both flood and rain damage.","21","3"
