"id","short_alias","name","description","cost_absolute","cost_percentage_income","cost_percentage_house","satisfaction_delta_once","satisfaction_delta_permanent","pluvial_protection_delta","fluvial_protection_delta","house_value_delta_abs","house_value_delta_perc","valid_one_round","valid_until_used","house_measure","measurecategory_id","category_sequence_nr","priority"
"12","Green garden","Green Garden","Creating a green garden space can help your garden soak up more water during long periods of rain. This can help in, e.g., urban areas.","20000","0","0","2","0","1","0","0","0","0","0","1","1","2","1"
"14","Steel walls","Automatic steel walls","Install steel walls which will automatically rise when a flood is detected. This will shut the water out of your house.","12000","0","0","1","0","1","1","0","0","0","0","1","1","1","1"
"16","Water pump","Install a water pump","A water pump can help you to remove excess water from your basement or garden. It is not fast enough to remove water from an actual flood.","6000","0","0","0","0","1","0","0","0","0","0","1","1","3","1"
"18","Rain barrel","Underground rain barrel","Rain barrels are typically connected to gutter downspouts and collect the runoff from roofs. You can use this stored water for uses such as watering the garden, washing your car or flushing your toilet.","11000","0","0","1","0","1","0","0","0","0","0","1","1","7","1"
"20","Rise level","Rise ground level","Rising the ground level of your house is an expensive, but incredibly effective way to protect your house from flood water.","35000","0","0","3","0","1","2","0","0","0","0","1","1","4","1"
"22","Bulkhead","Self rising bulkhead","A self-rising bulkhead seals passages such as doors and prevents water from entering during a flood. It forms a permanent part of your house and rises automatically when it comes into contact with inflowing water.","8000","0","0","0","0","0","1","0","0","0","0","1","1","6","1"
"24","Waterproofing","Water resistent walls and floors","Choose walling and floors that are not easily damaged by water and will protect the structure underneath. If a flood does happen, this will lessen the damage the water does.","20000","0","0","1","0","1","1","0","0","0","0","1","1","8","1"
"26","Sandbags","Sandbags","When a flood is happening, you can use these sandbags to protect your doors and house. It is a cheaper alternative, but they cannot be used again once they are used.","3000","0","0","0","0","0","1","0","0","1","0","1","1","5","1"
"35","Green garden","Green Garden","Creating a green garden space can help your garden soak up more water during long periods of rain. This can help in, e.g., urban areas.","20000","0","0","2","0","1","0","0","0","0","0","1","3","2","1"
"36","Steel walls","Automatic steel walls","Install steel walls which will automatically rise when a flood is detected. This will shut the water out of your house.","12000","0","0","1","0","1","0","0","0","0","0","1","3","1","1"
"37","Water pump","Install a water pump","A water pump can help you to remove excess water from your basement or garden. It is not fast enough to remove water from an actual flood.","6000","0","0","0","0","1","0","0","0","0","0","1","3","3","1"
"38","Rain barrel","Underground rain barrel","Rain barrels are typically connected to gutter downspouts and collect the runoff from roofs. You can use this stored water for uses such as watering the garden, washing your car or flushing your toilet.","11000","0","0","1","0","1","0","0","0","0","0","1","3","7","1"
"39","Rise level","Rise ground level","Rising the ground level of your house is an expensive, but incredibly effective way to protect your house from flood water.","35000","0","0","3","0","1","2","0","0","0","0","1","3","4","1"
"40","Bulkhead","Self rising bulkhead","A self-rising bulkhead seals passages such as doors and prevents water from entering during a flood. It forms a permanent part of your house and rises automatically when it comes into contact with inflowing water.","8000","0","0","0","0","0","1","0","0","0","0","1","3","6","1"
