"id","name","house_discount_round1","house_discount_round2","house_discount_round3","house_discount_effect_pluvial","house_discount_effect_fluvial","house_discount_community","pluvial_protection_change","fluvial_protection_change","tax_change","satisfaction_living_bonus","satisfaction_move_change","newsitem_id","community_id"
"1","House discounts 10-5-2","10000","5000","2000","0","1","1","0","0","0","0","0","15","NULL"
"2","House discounts 10-5-2","10000","5000","2000","0","1","1","0","0","0","0","0","22","7"
"3","Rain effects","0","0","0","0","1","1","-2","-1","0","0","0","23","7"
"4","Rain effects","0","0","0","0","1","1","-2","-1","0","0","0","16","7"
"5","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","17","7"
"6","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","24","7"
"7","NbS satisfaction","0","0","0","0","1","1","0","0","0","2","2","25","7"
"8","NbS satisfaction","0","0","0","0","1","1","0","0","0","2","2","18","7"
"33","House discounts 10-5-2","10000","5000","2000","0","1","1","0","0","0","0","0","69","NULL"
"34","Rain effects","0","0","0","0","1","1","-2","-1","0","0","0","70","NULL"
"35","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","71","13"
"36","NbS satisfaction","0","0","0","0","1","1","0","0","0","2","2","72","13"
"37","House discounts 10-5-2","10000","5000","2000","0","1","1","0","0","0","0","0","78","NULL"
"38","Rain effects","0","0","0","0","1","1","-2","-1","0","0","0","79","NULL"
"39","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","80","13"
"40","NbS satisfaction","0","0","0","0","1","1","0","0","0","2","2","81","13"
"43","House discounts 10-5-2 +rain river-1 rain-2","10000","5000","2000","0","1","1","-2","-1","0","0","0","84","NULL"
"44","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","85","16"
"45","Natucity Satisfaction","0","0","0","0","1","1","0","0","0","2","2","86","16"
"47","House discounts 10-5-2 +rain river-1 rain-2","10000","5000","2000","0","1","1","-2","-1","0","0","0","90","NULL"
"48","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","91","16"
"49","Natucity Satisfaction","0","0","0","0","1","1","0","0","0","2","2","92","16"
"64","House discounts 10-5-2 +rain river-1 rain-2","10000","5000","2000","0","1","1","-2","-1","0","0","0","116","NULL"
"65","Taxes Natucity +5k","0","0","0","0","1","1","0","0","5000","0","0","117","26"
"66","Natucity Satisfaction","0","0","0","0","1","1","0","0","0","2","2","118","26"
"70","House discounts 10-5-2 +rain river-1 rain-2","10000","5000","2000","1","1","1","-2","-1","0","0","0","126","NULL"
"71","Taxes Naturcity +5k + bonus","0","0","0","0","0","0","0","0","5000","2","2","127","29"
