"id","code","user_id","group_id","welfaretype_id"
"156","t1p1","NULL","27","9"
"157","t1p2","NULL","27","13"
"158","t1p3","NULL","27","11"
"159","t1p4","NULL","27","12"
"160","t1p5","NULL","27","10"
"161","t1p6","NULL","27","8"
"162","t1p7","NULL","27","9"
"163","t1p8","NULL","27","13"
"164","t2p1","NULL","28","9"
"165","t2p2","NULL","28","13"
"166","t2p3","NULL","28","11"
"167","t2p4","NULL","28","12"
"168","t2p5","NULL","28","10"
"169","t2p6","NULL","28","8"
"170","t2p7","NULL","28","9"
"171","t2p8","NULL","28","13"
"172","t3p1","NULL","29","9"
"173","t3p2","NULL","29","13"
"174","t3p3","NULL","29","11"
"175","t3p4","NULL","29","12"
"176","t3p5","NULL","29","10"
"177","t3p6","NULL","29","8"
"178","t3p7","NULL","29","9"
"179","t3p8","NULL","29","13"
"180","t4p1","NULL","30","18"
"181","t4p2","NULL","30","16"
"182","t4p3","NULL","30","17"
"183","t4p4","NULL","30","15"
"184","t4p5","NULL","30","14"
"185","t4p6","NULL","30","19"
"186","t4p7","NULL","30","18"
"187","t4p8","NULL","30","16"
"188","t5p1","NULL","31","18"
"189","t5p2","NULL","31","16"
"190","t5p3","NULL","31","17"
"191","t5p4","NULL","31","15"
"192","t5p5","NULL","31","14"
"193","t5p6","NULL","31","19"
"194","t5p7","NULL","31","18"
"195","t5p8","NULL","31","16"
"196","t6p1","NULL","32","18"
"197","t6p2","NULL","32","16"
"198","t6p3","NULL","32","17"
"199","t6p4","NULL","32","15"
"200","t6p5","NULL","32","14"
"201","t6p6","NULL","32","19"
"202","t6p7","NULL","32","18"
"203","t6p8","NULL","32","16"
"204","t1p1","NULL","33","8"
"205","t1p2","8","33","9"
"206","t1p3","9","33","10"
"207","t1p4","10","33","12"
"208","t1p5","11","33","13"
"209","t1p6","13","33","11"
"210","t1p7","7","33","8"
"211","t1p8","NULL","33","9"
"212","t2p1","NULL","34","8"
"213","t2p2","NULL","34","9"
"214","t2p3","NULL","34","10"
"215","t2p4","NULL","34","12"
"216","t2p5","NULL","34","13"
"217","t2p6","NULL","34","11"
"218","t2p7","NULL","34","8"
"219","t2p8","NULL","34","9"
"220","t3p1","NULL","35","8"
"221","t3p2","NULL","35","9"
"222","t3p3","NULL","35","10"
"223","t3p4","NULL","35","12"
"224","t3p5","NULL","35","13"
"225","t3p6","NULL","35","11"
"226","t3p7","NULL","35","8"
"227","t3p8","NULL","35","9"
"228","t4p1","NULL","36","18"
"229","t4p2","NULL","36","14"
"230","t4p3","NULL","36","16"
"231","t4p4","NULL","36","17"
"232","t4p5","NULL","36","15"
"233","t4p6","NULL","36","19"
"234","t4p7","NULL","36","18"
"235","t4p8","NULL","36","14"
"236","t5p1","NULL","37","18"
"237","t5p2","NULL","37","14"
"238","t5p3","NULL","37","16"
"239","t5p4","NULL","37","17"
"240","t5p5","NULL","37","15"
"241","t5p6","NULL","37","19"
"242","t5p7","NULL","37","18"
"243","t5p8","NULL","37","14"
"244","t6p1","NULL","38","18"
"245","t6p2","NULL","38","14"
"246","t6p3","NULL","38","16"
"247","t6p4","NULL","38","17"
"248","t6p5","NULL","38","15"
"249","t6p6","NULL","38","19"
"250","t6p7","NULL","38","18"
"251","t6p8","NULL","38","14"
"252","t1p1","NULL","39","15"
"253","t1p2","NULL","39","16"
"254","t1p3","NULL","39","17"
"255","t1p4","NULL","39","14"
"256","t1p5","NULL","39","19"
"257","t1p6","NULL","39","18"
"258","t1p7","NULL","39","16"
"259","t1p8","NULL","39","17"
"260","t2p1","NULL","40","15"
"261","t2p2","NULL","40","16"
"262","t2p3","NULL","40","17"
"263","t2p4","NULL","40","14"
"264","t2p5","NULL","40","19"
"265","t2p6","NULL","40","18"
"266","t2p7","NULL","40","15"
"267","t2p8","NULL","40","16"
"268","t3p1","NULL","41","15"
"269","t3p2","NULL","41","16"
"270","t3p3","NULL","41","17"
"271","t3p4","NULL","41","14"
"272","t3p5","NULL","41","19"
"273","t3p6","NULL","41","18"
"274","t3p7","NULL","41","15"
"275","t3p8","NULL","41","16"
"276","t4p1","NULL","42","15"
"277","t4p2","NULL","42","16"
"278","t4p3","NULL","42","17"
"279","t4p4","NULL","42","14"
"280","t4p5","NULL","42","19"
"281","t4p6","NULL","42","18"
"282","t4p7","NULL","42","15"
"283","t4p8","NULL","42","16"
"284","t5p1","NULL","43","15"
"285","t5p2","NULL","43","16"
"286","t5p3","NULL","43","17"
"287","t5p4","NULL","43","14"
"288","t5p5","NULL","43","19"
"289","t5p6","NULL","43","18"
"290","t5p7","NULL","43","15"
"291","t5p8","NULL","43","16"
"292","t6p1","NULL","44","15"
"293","t6p2","NULL","44","16"
"294","t6p3","NULL","44","17"
"295","t6p4","NULL","44","14"
"296","t6p5","NULL","44","19"
"297","t6p6","NULL","44","18"
"298","t6p7","NULL","44","15"
"299","t6p8","NULL","44","16"
"300","t1p1","NULL","45","15"
"301","t1p2","NULL","45","18"
"302","t1p3","NULL","45","19"
"303","t1p4","NULL","45","16"
"304","t1p5","NULL","45","17"
"305","t1p6","NULL","45","14"
"306","t1p7","NULL","45","15"
"307","t1p8","NULL","45","18"
"308","t2p1","NULL","46","15"
"309","t2p2","NULL","46","18"
"310","t2p3","NULL","46","19"
"311","t2p4","NULL","46","16"
"312","t2p5","NULL","46","17"
"313","t2p6","NULL","46","14"
"314","t2p7","NULL","46","15"
"315","t2p8","NULL","46","18"
"316","t3p1","NULL","47","15"
"317","t3p2","NULL","47","18"
"318","t3p3","NULL","47","19"
"319","t3p4","NULL","47","16"
"320","t3p5","NULL","47","17"
"321","t3p6","NULL","47","14"
"322","t3p7","NULL","47","15"
"323","t3p8","NULL","47","18"
"340","t1p1","NULL","50","8"
"341","t1p2","NULL","50","13"
"342","t1p3","NULL","50","11"
