"id","answer","late_answer","playerround_id","question_id"
"12","1","0","124","3"
"13","3","0","124","4"
"14","5","0","121","3"
"15","2","0","121","4"
"16","2","0","125","3"
"17","4","0","125","4"
"18","2","0","127","3"
"19","3","0","127","4"
"20","1","0","129","3"
"21","3","0","129","4"
"22","3","0","131","3"
"23","3","0","131","4"
"24","1","0","152","3"
"25","3","0","152","4"
"26","3","1","134","3"
"27","3","1","134","4"
"28","3","1","137","3"
"29","3","1","137","4"
"30","3","0","158","1"
"31","3","0","158","2"
"32","2","0","159","1"
"33","2","0","159","2"
"34","2","0","161","1"
"35","4","0","161","2"
"36","3","0","162","1"
"37","4","0","162","2"
"38","2","0","165","1"
"39","2","0","165","2"
"40","3","1","172","1"
"41","4","1","172","2"
"42","2","0","173","1"
"43","2","0","173","2"
"58","4","1","133","3"
"59","3","1","133","4"
"60","1","0","206","1"
"61","5","0","206","2"
"62","1","0","199","1"
"63","4","0","199","2"
"64","3","0","207","1"
"65","4","0","207","2"
"66","3","0","209","1"
"67","4","0","209","2"
"68","3","0","205","1"
"69","4","0","205","2"
"70","1","0","208","1"
"71","4","0","208","2"
"72","1","0","202","1"
"73","4","0","202","2"
"74","4","0","203","1"
"75","3","0","203","2"
"76","3","0","200","1"
"77","4","0","200","2"
"78","4","0","201","1"
"79","3","0","201","2"
"80","1","0","204","1"
"81","3","0","204","2"
"82","3","0","211","1"
"83","4","0","211","2"
"84","3","0","212","1"
"85","2","0","212","2"
"86","1","0","214","1"
"87","5","0","214","2"
"88","1","0","213","1"
"89","5","0","213","2"
"90","3","0","217","1"
"91","2","0","217","2"
"92","5","0","215","1"
"93","1","0","215","2"
"94","2","0","216","1"
"95","4","0","216","2"
"96","3","0","222","1"
"97","3","0","222","2"
"98","4","0","221","1"
"99","3","0","221","2"
"100","4","0","223","1"
"101","4","0","223","2"
"102","1","0","219","1"
"103","4","0","219","2"
"104","1","0","218","1"
"105","4","0","218","2"
"106","1","0","220","1"
"107","3","0","220","2"
"108","3","0","232","1"
"109","3","0","232","2"
"110","3","0","231","1"
"111","3","0","231","2"
"112","1","0","233","1"
"113","4","0","233","2"
"114","1","0","230","1"
"115","3","0","230","2"
"116","2","0","235","1"
"117","4","0","235","2"
"118","2","0","234","1"
"119","4","0","234","2"
"120","2","0","225","1"
"121","2","0","225","2"
"122","2","0","226","1"
"123","2","0","226","2"
"124","2","0","224","1"
"125","2","0","224","2"
"126","1","0","227","1"
"127","5","0","227","2"
"128","1","1","229","1"
"129","4","1","229","2"
"130","2","1","228","1"
"131","4","1","228","2"
"132","4","0","240","1"
"133","3","0","240","2"
"134","3","0","236","1"
"135","3","0","236","2"
"136","1","0","237","1"
"137","3","0","237","2"
"138","1","0","241","1"
"139","4","0","241","2"
"140","1","0","238","1"
"141","4","0","238","2"
"142","4","0","239","1"
"143","3","0","239","2"
"144","2","0","242","1"
"145","2","0","242","2"
"146","2","0","246","1"
"147","4","0","246","2"
"148","1","0","243","1"
"149","5","0","243","2"
"150","5","0","244","1"
"151","5","0","244","2"
"152","1","0","245","1"
"153","2","0","245","2"
"154","1","1","247","1"
"155","4","1","247","2"
"168","1","1","284","3"
"169","2","1","284","4"
"170","3","0","291","3"
"171","4","0","291","4"
"172","1","0","290","3"
"173","4","0","290","4"
"174","4","0","292","3"
"175","2","0","292","4"
"176","3","1","289","3"
"177","4","1","289","4"
"178","4","0","293","3"
"179","2","0","293","4"
"180","1","0","295","3"
"181","5","0","295","4"
"182","2","0","294","3"
"183","4","0","294","4"
"184","1","0","296","3"
"185","1","0","296","4"
"186","3","0","300","3"
"187","4","0","300","4"
"188","1","0","298","3"
