PlayerID,Round,Question1,Question2,Membership,GameTactic,Income,LivingCost,MaxMortgage,StartingSavings,IncreaseSatisfaction,PreferredHouseRating,ActualHouseRating,Savings,BeginSatisfaction,EndSatisfaction,Damage,SpendableIncome,PayingDebt,PayingSatisfaction,PayingMeasures,RiverFloodedArea,RiverFloodedHouse,RainFloodedArea,RainFloodedHouse,Address,GreenGarden,AutomaticSteelWalls,Waterpump,Bulkhead,RiseGroundLevel,WaterproofWallsandFloors,Sandbags,Rainbarrel,Scenario,Game,FinalArea,Private_Measure,filter_$,Riverfloodlag,RainFloodlag,GreenGarden_Lead,Automatic_Lead,Waterpump_Lead,Bulkhead_Lead,RiseGround_Lead,Waterproof_Lead,Sandbag_Lead,Rainbarrel_Lead
3,1,2,3,2,3,100,50,170,30,10,6,6,0,5,2,0,18,0,0,12,1,1,2,2,U01,2,1,2,2,2,2,2,2,1,1,0,1,0,2,2,2,2,2,1,2,2,2,2
4,1,1,2,2,4,80,40,130,15,8,5,2,0,5,2,0,9,0,0,6,2,2,1,2,D10,2,2,1,2,2,2,2,2,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2
5,4,3,2,2,2,65,30,110,5,6,4,3,0,4,4,0,0,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2
5,5,2,2,2,2,65,30,110,5,6,4,3,0,4,11,0,0,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,1
6,1,3,2,1,4,100,50,170,30,10,6,6,0,5,6,0,13,0,0,11,2,2,2,2,N04,2,2,2,2,2,2,2,1,1,1,0,1,0,2,2,2,2,2,1,2,2,2,2
7,1,3,3,2,1,50,20,80,0,4,3,2,0,5,0,0,8,0,0,0,1,1,2,2,U10,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2
9,1,1,4,2,NA,100,50,170,30,10,6,8,0,5,10,0,82,60,0,20,1,1,2,2,D01,1,2,2,2,2,2,2,2,1,2,0,1,0,1,2,2,2,2,2,2,2,2,2
11,1,4,4,3,2,80,40,130,15,8,5,4,0,5,0,0,12,1,0,8,1,1,2,2,U04,2,2,2,1,2,2,2,2,1,2,0,1,0,2,1,2,2,2,2,2,2,1,2
11,3,4,4,3,2,80,40,130,15,8,5,4,0,0,0,0,12,0,0,12,2,2,1,2,U04,2,1,2,2,2,2,2,2,1,2,1,1,0,2,2,2,2,2,2,2,2,2,2
12,1,2,2,1,1,50,20,80,0,4,3,3,0,5,2,0,2,2,0,0,1,1,2,2,N07,2,2,2,2,2,2,2,2,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2
